# Testy spuštěné po převodu na server - vše funguje padnul pouze jeden flaky test na vytvoření firmy
"describe","test","status","duration","timestamp","timestampLocal"
"Registration test company @high @middle @low","Repeatedly checks and deletes companies until none remain","failed",16881,"2025-07-24T13:16:42.637Z","24. 07. 2025 15:16"
"Registration test company @high @middle @low","Registration company","passed",18331,"2025-07-24T13:17:01.112Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Create folder without template","passed",18503,"2025-07-24T13:17:22.928Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",868,"2025-07-24T13:17:24.060Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",4020,"2025-07-24T13:17:28.213Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",844,"2025-07-24T13:17:29.412Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Restore created folder with action button","passed",3052,"2025-07-24T13:17:32.574Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",873,"2025-07-24T13:17:33.618Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Folder was restored and can be opened","passed",5247,"2025-07-24T13:17:39.018Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Deletes the created folder without template","passed",3984,"2025-07-24T13:17:43.305Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",702,"2025-07-24T13:17:44.354Z","24. 07. 2025 15:17"
"Restore folder without file without template - action button @high @middle @low","Delete created folder in trash","passed",2763,"2025-07-24T13:17:47.533Z","24. 07. 2025 15:17"
"Restore folder without file without template- bulk action @high @middle @low","Create folder without template","passed",9619,"2025-07-24T13:17:57.373Z","24. 07. 2025 15:17"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1447,"2025-07-24T13:17:59.217Z","24. 07. 2025 15:17"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",4523,"2025-07-24T13:18:03.887Z","24. 07. 2025 15:18"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1019,"2025-07-24T13:18:05.583Z","24. 07. 2025 15:18"
"Restore folder without file without template- bulk action @high @middle @low","Restore created folder with bulk action","passed",2723,"2025-07-24T13:18:08.397Z","24. 07. 2025 15:18"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",937,"2025-07-24T13:18:09.658Z","24. 07. 2025 15:18"
"Restore folder without file without template- bulk action @high @middle @low","Folder was restored and can be opened","passed",5676,"2025-07-24T13:18:15.485Z","24. 07. 2025 15:18"
"Restore folder without file without template- bulk action @high @middle @low","Deletes the created folder without template","passed",6835,"2025-07-24T13:18:23.075Z","24. 07. 2025 15:18"
"Restore folder without file without template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1622,"2025-07-24T13:18:25.217Z","24. 07. 2025 15:18"
"Restore folder without file without template- bulk action @high @middle @low","Delete created folder in trash","passed",6045,"2025-07-24T13:18:31.721Z","24. 07. 2025 15:18"
"Restore folder without file with template - action button @high @middle @low","Create folder with template","passed",26443,"2025-07-24T13:19:05.448Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1822,"2025-07-24T13:19:08.648Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder without template","passed",6043,"2025-07-24T13:19:15.085Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",995,"2025-07-24T13:19:16.797Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Restore created folder with action button","passed",4044,"2025-07-24T13:19:21.062Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1645,"2025-07-24T13:19:23.359Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Folder was restored and can be opened","passed",6367,"2025-07-24T13:19:29.969Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Deletes the created folder with template","passed",8464,"2025-07-24T13:19:39.326Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",2454,"2025-07-24T13:19:42.646Z","24. 07. 2025 15:19"
"Restore folder without file with template - action button @high @middle @low","Delete created folder in trash","passed",3364,"2025-07-24T13:19:47.517Z","24. 07. 2025 15:19"
"Restore folder without file with template- bulk action @high @middle @low","Create folder with template","passed",12908,"2025-07-24T13:20:01.717Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1151,"2025-07-24T13:20:03.463Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",4170,"2025-07-24T13:20:07.765Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",801,"2025-07-24T13:20:08.957Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Restore created folder with bulk action","passed",2301,"2025-07-24T13:20:11.394Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",880,"2025-07-24T13:20:12.442Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Folder was restored and can be opened","passed",5002,"2025-07-24T13:20:17.495Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Deletes the created folder with template","passed",4853,"2025-07-24T13:20:22.766Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1206,"2025-07-24T13:20:24.611Z","24. 07. 2025 15:20"
"Restore folder without file with template- bulk action @high @middle @low","Delete created folder in trash","passed",2803,"2025-07-24T13:20:27.669Z","24. 07. 2025 15:20"
"Restore folder with file without template - action button @high @middle @low","Create folder without template","passed",16228,"2025-07-24T13:20:51.799Z","24. 07. 2025 15:20"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",973,"2025-07-24T13:20:53.251Z","24. 07. 2025 15:20"
"Restore folder with file without template - action button @high @middle @low","Uploads the first file into the created folder","passed",4861,"2025-07-24T13:20:58.304Z","24. 07. 2025 15:20"
"Restore folder with file without template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1036,"2025-07-24T13:20:59.824Z","24. 07. 2025 15:20"
"Restore folder with file without template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",12650,"2025-07-24T13:21:12.874Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",9811,"2025-07-24T13:21:24.046Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",2038,"2025-07-24T13:21:27.547Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","Restore created folder with action button","passed",2911,"2025-07-24T13:21:31.088Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1342,"2025-07-24T13:21:33.229Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","Folder was restored and can be opened","passed",7176,"2025-07-24T13:21:40.985Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",11825,"2025-07-24T13:21:53.076Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","Deletes the created folder without template","passed",5584,"2025-07-24T13:21:59.620Z","24. 07. 2025 15:21"
"Restore folder with file without template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",874,"2025-07-24T13:22:00.821Z","24. 07. 2025 15:22"
"Restore folder with file without template - action button @high @middle @low","Delete created folder in trash","passed",5105,"2025-07-24T13:22:06.141Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Create folder without template","passed",20032,"2025-07-24T13:22:32.138Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1840,"2025-07-24T13:22:35.094Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",6558,"2025-07-24T13:22:41.965Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",851,"2025-07-24T13:22:43.271Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8641,"2025-07-24T13:22:52.122Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Deletes the created folder without template","passed",3770,"2025-07-24T13:22:56.090Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",645,"2025-07-24T13:22:56.935Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Restore created folder with bulk action","passed",2403,"2025-07-24T13:22:59.411Z","24. 07. 2025 15:22"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1116,"2025-07-24T13:23:00.757Z","24. 07. 2025 15:23"
"Restore folder with file without template - bulk action @high @middle @low","Folder was restored and can be opened","passed",4434,"2025-07-24T13:23:05.331Z","24. 07. 2025 15:23"
"Restore folder with file without template - bulk action @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",9706,"2025-07-24T13:23:15.390Z","24. 07. 2025 15:23"
"Restore folder with file without template - bulk action @high @middle @low","Deletes the created folder without template","passed",4059,"2025-07-24T13:23:19.877Z","24. 07. 2025 15:23"
"Restore folder with file without template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",2715,"2025-07-24T13:23:23.366Z","24. 07. 2025 15:23"
"Restore folder with file without template - bulk action @high @middle @low","Delete created folder in trash","passed",3141,"2025-07-24T13:23:26.937Z","24. 07. 2025 15:23"
"Restore folder with file with template - action button @high @middle @low","Create folder with template","passed",16314,"2025-07-24T13:23:47.036Z","24. 07. 2025 15:23"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder creation is recorded in the change history","passed",983,"2025-07-24T13:23:48.523Z","24. 07. 2025 15:23"
"Restore folder with file with template - action button @high @middle @low","Uploads the first file into the created folder","passed",6080,"2025-07-24T13:23:54.894Z","24. 07. 2025 15:23"
"Restore folder with file with template - action button @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",1352,"2025-07-24T13:23:56.656Z","24. 07. 2025 15:23"
"Restore folder with file with template - action button @high @middle @low","Downloads the first uploaded file and checks its contents","passed",10747,"2025-07-24T13:24:07.612Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Deletes the created folder with template","passed",3328,"2025-07-24T13:24:11.228Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1074,"2025-07-24T13:24:12.779Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Restore created folder with action button","passed",2320,"2025-07-24T13:24:15.299Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",969,"2025-07-24T13:24:16.665Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Folder was restored and can be opened","passed",5332,"2025-07-24T13:24:22.197Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",13365,"2025-07-24T13:24:36.902Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Deletes the created folder with template","passed",7049,"2025-07-24T13:24:44.485Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1268,"2025-07-24T13:24:46.592Z","24. 07. 2025 15:24"
"Restore folder with file with template - action button @high @middle @low","Delete created folder in trash","passed",3158,"2025-07-24T13:24:50.055Z","24. 07. 2025 15:24"
"Restore folder with file with template - bulk action @high @middle @low","Create folder with template","passed",21650,"2025-07-24T13:25:18.500Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that folder creation is recorded in the change history","passed",1572,"2025-07-24T13:25:20.940Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Uploads the first file into the created folder","passed",10621,"2025-07-24T13:25:31.861Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that the upload of the first file is recorded in the history","passed",3001,"2025-07-24T13:25:35.848Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Downloads the first uploaded file and checks its contents","passed",8853,"2025-07-24T13:25:45.053Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Deletes the created folder without template","passed",3506,"2025-07-24T13:25:49.037Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that folder deletion is recorded in the change history","passed",1425,"2025-07-24T13:25:51.331Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Restore created folder with bulk action","passed",2363,"2025-07-24T13:25:53.912Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Verifies that folder restoration is recorded in the change history","passed",1337,"2025-07-24T13:25:55.679Z","24. 07. 2025 15:25"
"Restore folder with file with template - bulk action @high @middle @low","Folder was restored and can be opened","passed",6090,"2025-07-24T13:26:02.025Z","24. 07. 2025 15:26"
"Restore folder with file with template - bulk action @high @middle @low","File in restored folder have template","passed",5440,"2025-07-24T13:26:08.044Z","24. 07. 2025 15:26"
"Restore folder with file with template - bulk action @high @middle @low","File in restored folder is not corrupted and can be downloaded again","passed",13874,"2025-07-24T13:26:22.487Z","24. 07. 2025 15:26"
"Restore folder with file with template - bulk action @high @middle @low","Deletes the created folder with template","passed",3857,"2025-07-24T13:26:26.723Z","24. 07. 2025 15:26"
